pretty_formula,spacegroup.number,band_gap,density,volume,formation_energy_per_atom,nsites
K2NbS7,14,1.3163,2.341419572362065,2244.243574790827,-1.2279848311625003,80
Na3InBi2,14,0.0258000000000002,4.878599024990211,2457.8193113289226,-0.2840513255555557,72
Na3W3Cl13,14,0.918,3.8253525009874094,1877.65276583386,-1.5525763585463157,76
KPb2Cl5,14,3.6184,4.492084896212566,932.669017284728,-1.7390158299125005,32
Na3GdBr6,14,0.1734,3.754655953242788,624.1574697362963,-1.1715667405,20
NaC2N3,14,4.6266,1.6621211818241612,355.7860940708827,-0.2477238996622226,24
Na4V2O7,15,3.3364,2.716331353092421,1495.710727413574,-2.3305485177564105,104
K3Nb7O19,2,2.112,3.9126571182454577,1819.2040557304367,-2.976314301560345,116
Na2Si4O9,14,4.4699,2.9895486474916035,2015.051037073777,-3.000152504194445,180
KNd3Te8,14,0.4468999999999994,5.927289579295931,1672.6437463518644,-1.1439068785833335,48
LiMo6Cl13,2,2.3547,3.5159739897074447,985.6288498705744,-1.399653172285666,40
K3Nb2S11,15,1.4261,2.404871082515044,1811.3555535003893,-1.2840094242734388,64
Na5TaO5,15,2.5372,3.909481301351336,319.3191983608148,-2.339061049810606,22
K2SnSe3,2,1.6512,3.372813677964656,427.1327530326364,-0.8901778130052088,12
Na3DyCl6,14,5.426900000000001,2.8312083506179446,521.0428101451541,-2.353867992956,20
K2Se2N,15,0.1815,2.745070883055762,302.607494531845,0.1428226633865001,10
NaCO2,15,0.0427,1.7903641410179296,124.2818726360752,-1.4852695152083326,8
Na2AgF4,14,0.5851000000000001,3.7954821511989,201.11307488713112,-2.335645731870476,14
NaPO4,2,0.0961999999999999,2.09156408819814,374.6078218421104,-1.59146251406746,24
NaSeO3,15,3.0887,2.4874612212149927,800.7986900801808,-1.5117774458854172,40
LiAlH4,15,3.9431,1.163243103888017,108.36014477119812,-0.2324522988022218,12
CsLiCl2,15,5.1162,2.7984359316847813,500.226109591145,-2.192990435696092,16
NaCO3,14,0.6706,2.0434906087238764,269.7786468445206,-1.787799262416666,20
Li2OsO6,15,0.7718,4.338713265185179,229.71867093113823,-1.4406529449074073,18
K2Se2O7,15,3.0466,2.923077907483058,395.5106624343272,-1.5643470754034092,22
Na4W4O15,2,0.3525999999999999,5.451632976578083,325.0971015194926,-2.0431379957427542,23
KTeO4,14,0.5381,3.9662973050738817,386.3346844568538,-1.467120482583334,24
KAsO3,2,3.1488,2.902151295468128,556.216455633631,-1.9478670863500005,30
Cs2NaAs7,14,1.4374,3.826426954450439,1411.6945362454128,-0.3589037831695407,40
Na3(PO4)2,14,0.2319,2.3969490161657823,717.4679824785512,-2.136394487087912,52
Na3(PO3)4,14,0.1909,2.484197432895114,1029.0169917583466,-2.510093826015038,76
LiYb8Ge13,14,0.0029000000000003,7.946725915162614,1952.161700359503,-0.5117143012878788,88
KB6F6,15,2.6505,2.0761703658229926,697.2882995331017,-2.103105192318461,52
Li2Cr2O9,15,0.7289999999999999,2.392146674068788,363.5591223877919,-1.1266138940705115,26
LiHoO2,14,4.4183,6.480360456298269,208.9601657533776,-3.310826540208333,16
K14Fe4O13,14,0.0369000000000001,2.685198295895559,1210.5250901257516,-1.4161725159112903,62
K2Ga2Sb3,14,0.9068999999999998,4.159090735587852,1861.8795532812185,-0.3534465428214289,56
Li3B7O12,2,5.6046,2.222017404638546,431.1879500428555,-2.825436892007576,44
Na6Sn2Se7,15,1.4178999999999995,3.518358181725019,876.0397427513161,-0.8618602070937499,30
Na3GaSe3,14,2.0844,3.3640642785875534,741.5464602992546,-0.9698734506473216,28
NaCuF3,2,0.0808999999999999,3.8781252224231375,245.82888280091183,-2.328162396880667,20
Na2B4O7,2,4.618,2.1734356625814995,614.9389713011805,-2.753321194775641,52
NaVF4,14,2.0363,2.976409349126921,334.57242542564285,-3.0920807955155563,24
K3AlTe3,14,2.1198,3.1423391110375736,1114.114023283378,-0.9401482923571426,28
Na7(CoO3)2,15,0.0101999999999999,2.825475089221684,440.5314987288967,-1.5518199823888892,30
Na3InSb2,14,0.2846999999999999,4.013676749818544,1414.2852498404536,-0.3764600454166666,48
Li3VF6,15,2.4336,2.802556048693393,660.3685238449381,-3.0711691170473334,60
Li2PbO3,15,1.0712000000000002,6.684437017432163,133.6890999147112,-1.7961536984027784,12
K(BH)5,14,4.6289,1.294078906087697,1007.996107808307,-0.3707854331303024,88
Li2W2O7,2,3.7668,5.697578530728485,287.6913425958027,-2.2753340423106065,22
Na4As2O7,15,3.2060000000000004,3.0146733263669105,389.757340277881,-2.026215690160257,26
Na2ZrF6,14,6.2568,3.294182609047959,506.48968761923,-3.653329703200741,36
K3GeTe3,15,1.056,3.449709079850885,1102.7581216168564,-0.8002497669999998,28
Li2Te2O5,14,3.4818,4.339423788817056,534.3191585237438,-1.8579766647685187,36
K2BeO2,14,2.9235,2.374685782489046,333.43164540858334,-2.1148341602,20
Li6Ge2O7,14,3.8132,3.141919070063394,631.9339431596201,-2.312389674916667,60
Na8Ti5O14,2,3.507,3.2847060966361497,654.4117911603157,-2.8755614741049387,54
K4Be3O5,15,3.4459,2.3875620598402625,366.4243206725953,-2.314911488604168,24
KH9O5,14,5.0099,1.487431153608453,572.3314628801162,-1.4481293962886663,60
LiGaBr4,14,3.4374,3.38716407827278,777.0965989315782,-1.0996029588888891,24
K2Zn3O4,15,1.4102,4.067172706224241,276.3401823117312,-1.7196948745555558,18
Na6Be8O11,2,3.6214,2.402147446928112,266.85165367485524,-2.56031708255,25
NaTiSe4,14,0.9116,4.192521313276806,1225.2771911431446,-0.8628752137152779,48
Li3Zr4F19,2,5.6196,3.40539497346412,728.2008116575965,-3.863047678754232,52
K2Te2O5,14,3.3858000000000006,4.004232166738931,685.7306910268067,-1.7884555049722226,36
NaNb10O18,14,0.1356999999999999,5.609356195980519,734.1803197022153,-2.793452416063218,58
KNO2,14,2.5629,1.8599163304118167,303.9237460425391,-1.3947552269699992,16
Na3InS3,15,2.7744,2.5661902703744546,724.6875892134168,-1.2670471791964286,28
K6Sn2Se7,14,1.6825,3.1854498841480017,4273.440619052339,-0.97424464004375,120
KAuBr4,14,0.8099999999999999,4.2997299759361,858.4071992435739,-0.7452680113333336,24
Na4SeO5,2,1.3609,3.2474001697783432,513.2178687103018,-1.702493070692708,40
LiSb3O8,14,0.9891000000000004,5.859429085208864,283.51859191981004,-1.9703403186111104,24
K3BS3,14,2.7673,1.946081431901271,765.5597571981472,-1.3235216500059528,28
Na2Al2Sb3,14,0.7579000000000002,3.8253185757736974,1615.5942316079086,-0.2872004870238095,56
Na3BO3,14,2.9547,2.4243768194872306,350.0795791061093,-2.2769676939880954,28
KBiO2,15,2.0739,5.735481268350362,162.17632267132396,-1.7350541338749998,8
